area_sqft,bedrooms,bathrooms,age_years,waterfront,floors,condition,grade,price
1540,3,1.75,0,0,3.0,3,8,549000.0
1660,3,2.25,35,0,1.0,3,7,425000.0
2770,3,2.75,89,0,1.5,5,7,317625.0
2720,4,2.5,25,0,2.0,3,10,975000.0
2240,4,2.5,9,0,2.0,3,7,287000.0
1000,3,1.0,46,0,1.0,4,7,204000.0
3200,5,2.25,49,0,1.0,3,8,1325000.0
4770,5,3.25,41,0,1.0,4,11,1040000.0
1260,3,2.0,43,0,1.0,4,7,325000.0
2750,4,2.0,98,0,1.5,5,7,571000.0
2380,4,2.5,9,0,2.0,3,8,360000.0
1790,3,1.75,50,0,1.0,5,7,349000.0
3430,4,4.0,28,0,2.0,4,10,832500.0
1760,4,1.75,58,0,1.0,3,7,380000.0
1040,3,1.0,74,0,1.0,3,7,480000.0
1410,3,1.0,58,0,1.0,4,7,410000.0
3450,4,2.5,13,0,2.0,3,10,720000.0
2350,3,2.5,11,0,2.0,3,8,390000.0
1900,4,2.5,22,0,2.0,3,7,360000.0
2020,2,1.0,66,0,1.0,3,7,355000.0
1680,3,1.5,51,0,1.0,3,8,356000.0
960,3,1.0,62,0,1.0,3,6,315000.0
2140,3,1.5,89,0,2.0,3,9,940000.0
2660,5,2.25,53,0,1.5,5,7,305000.0
2770,3,3.25,8,0,2.0,3,9,461000.0
1610,2,2.25,35,0,2.0,4,7,215000.0
1030,2,1.75,8,0,2.0,3,7,335000.0
1980,4,2.5,26,0,2.0,3,7,243500.0
3520,5,2.75,14,0,2.0,4,10,1099880.0
1200,3,1.0,53,0,1.0,3,7,153000.0
1580,3,1.5,75,0,1.0,3,8,430000.0
1580,3,1.5,75,0,1.0,3,8,700000.0
3300,4,2.5,68,0,1.0,3,7,905000.0
1960,3,1.75,48,0,1.0,3,7,247500.0
1160,4,1.5,39,0,1.0,4,7,199000.0
1810,3,1.75,34,0,1.0,5,7,314000.0
2320,3,2.5,22,0,2.0,3,9,437500.0
2070,3,2.5,104,0,1.5,5,9,850830.0
1980,3,2.0,85,0,1.5,4,7,555000.0
2190,3,2.25,31,0,2.0,4,8,699950.0
2920,3,2.5,64,0,2.0,3,8,1088000.0
1210,3,1.0,60,0,1.0,3,7,290000.0
2340,3,2.5,37,0,1.0,4,8,375000.0
1670,3,1.0,75,0,1.5,4,7,460000.0
1240,2,1.75,29,0,1.0,4,8,188500.0
3140,4,2.5,24,0,2.0,4,10,680000.0
2030,5,1.75,72,0,2.0,4,7,470000.0
2310,4,2.5,30,0,2.0,3,8,597750.0
1260,3,1.75,110,0,1.0,5,6,570000.0
1540,3,1.75,34,0,1.0,4,7,272500.0
2080,3,1.75,43,0,1.0,3,7,329950.0
3230,4,2.5,13,0,2.0,3,9,480000.0
4380,3,3.5,114,0,2.0,3,8,740500.0
1590,3,3.5,4,0,3.0,3,8,518500.0
880,2,1.0,69,0,1.0,4,6,205425.0
1570,4,2.0,65,0,1.0,3,6,171800.0
1610,4,1.0,90,0,1.5,4,7,535000.0
2400,3,2.5,51,0,1.0,3,8,660000.0
1450,3,2.0,27,0,1.0,3,7,391500.0
770,2,1.0,62,0,1.0,3,6,395000.0
2100,4,1.75,90,0,1.5,5,7,445000.0
2910,3,2.25,24,0,2.0,3,9,770000.0
2750,4,2.75,101,0,1.5,3,8,1450000.0
2100,3,2.25,47,0,1.0,3,8,445000.0
2160,4,2.25,36,0,1.0,3,8,260000.0
2320,5,3.5,88,0,2.0,5,7,822500.0
2070,4,2.5,11,0,2.0,3,7,430000.0
1060,3,1.75,29,0,1.0,4,7,212000.0
2010,4,2.25,29,0,1.0,3,8,660500.0
3950,3,3.5,25,0,1.5,3,9,784000.0
2010,3,2.5,0,0,2.0,3,8,453246.0
2140,4,3.5,10,0,3.0,3,9,675000.0
1320,3,1.75,58,0,1.0,4,7,199000.0
2020,4,1.75,46,0,1.0,3,7,220000.0
2590,4,2.25,46,0,1.0,4,8,452000.0
1190,2,1.0,33,0,1.0,3,6,382500.0
1170,3,2.25,0,0,3.0,3,8,519950.0
1110,2,1.0,89,0,1.0,3,7,665000.0
2820,5,2.5,46,0,1.0,4,8,527700.0
1610,3,1.0,53,0,1.0,4,7,205000.0
1060,3,1.0,92,0,1.0,4,7,420000.0
2030,4,2.25,54,0,1.0,4,8,500000.0
3670,4,2.5,20,0,2.0,4,9,921500.0
2550,4,1.0,109,0,2.0,3,8,890000.0
2420,2,2.5,7,0,2.0,3,7,430000.0
2260,5,2.0,54,0,1.0,4,8,258000.0
1430,3,1.0,67,0,1.0,3,7,511000.0
1360,3,2.0,24,0,2.0,3,8,532170.0
1110,3,1.0,68,0,1.5,3,7,560000.0
1250,3,1.0,61,0,1.0,4,7,282950.0
5180,4,3.25,9,0,2.0,3,12,2250000.0
700,1,1.0,72,0,1.0,3,7,350000.0
1180,3,1.0,47,0,1.0,4,7,215000.0
3960,5,3.5,18,0,2.0,3,9,650000.0
2640,4,2.75,47,0,1.0,3,8,320000.0
1270,3,2.0,98,0,1.5,3,7,247000.0
1760,4,1.75,46,0,1.0,4,8,320000.0
2060,5,2.25,52,0,1.0,3,7,255000.0
1780,3,1.75,53,0,1.0,3,7,438000.0
3400,3,2.5,15,0,2.0,3,10,900000.0
1910,3,2.75,35,0,1.0,3,7,441000.0
2020,3,2.0,39,0,1.0,4,7,420000.0
1580,3,1.75,38,0,1.0,3,7,370000.0
1340,2,1.75,66,0,1.0,5,5,269950.0
2680,4,2.5,16,0,2.0,3,9,807100.0
2680,3,2.5,35,0,1.0,4,8,653000.0
1370,3,2.0,50,0,1.0,5,7,371500.0
1560,3,1.75,61,0,1.0,3,7,284000.0
2160,3,1.75,37,0,1.0,4,7,272000.0
1340,3,1.5,59,0,1.5,3,7,313000.0
3880,4,2.5,31,0,2.0,3,10,917500.0
2590,4,2.25,34,0,2.0,4,8,673000.0
1120,3,2.5,7,0,2.0,3,8,425000.0
1970,5,2.75,28,0,1.0,3,7,399950.0
1220,3,1.0,113,0,1.0,3,6,385000.0
1950,3,1.5,39,0,1.0,4,7,269950.0
1350,2,1.0,66,0,1.0,3,7,330000.0
1670,3,2.5,26,0,2.0,3,7,260000.0
2380,4,3.0,90,0,1.5,4,7,470000.0
2440,4,3.0,53,0,2.0,5,7,589000.0
1050,2,1.5,18,0,2.0,3,7,163500.0
3130,4,2.75,21,0,2.0,3,9,835000.0
4090,5,3.0,28,0,1.0,4,10,1095000.0
1490,4,1.75,46,0,1.0,4,8,269000.0
1900,3,2.5,27,0,2.0,3,8,560000.0
1330,4,1.0,114,0,1.5,4,6,615000.0
2230,3,2.25,39,0,1.0,3,8,585188.0
1650,3,1.75,37,0,1.0,3,7,305000.0
1190,3,1.0,55,0,1.0,3,6,166950.0
2140,3,2.5,55,0,1.0,4,8,799000.0
2180,3,2.5,52,0,1.0,4,7,400000.0
1060,3,1.0,66,0,1.0,3,7,230000.0
1690,3,2.5,11,0,2.0,3,8,256883.0
1970,4,2.0,94,0,1.5,5,7,423000.0
2150,3,2.5,7,0,2.0,3,8,465000.0
1910,3,2.5,18,0,2.0,3,7,440000.0
1350,3,1.75,45,0,1.0,4,7,385000.0
860,3,1.0,72,0,1.0,4,6,210000.0
1940,3,2.5,20,0,2.0,3,8,297000.0
1010,3,1.0,62,0,1.0,3,7,470000.0
1300,3,1.5,38,0,1.0,4,7,226500.0
910,3,1.0,53,0,1.0,4,6,274250.0
2480,4,1.75,48,0,1.0,4,9,840000.0
2440,3,2.5,4,0,2.0,3,8,677900.0
1010,3,1.0,100,0,1.0,3,7,425000.0
900,2,0.75,73,0,1.0,3,6,180250.0
2300,6,3.0,94,0,2.0,3,7,464000.0
1550,4,2.25,22,0,2.0,3,8,320000.0
1270,3,2.25,0,0,2.0,3,8,625504.0
2240,4,2.5,31,0,1.0,3,9,592500.0
2714,3,2.5,10,0,2.0,3,9,465000.0
1720,4,2.75,36,0,2.0,3,8,477000.0
850,2,1.0,92,0,1.0,3,6,280000.0
3300,5,3.0,58,0,1.0,3,9,1505000.0
2250,3,2.5,14,0,2.0,3,8,445838.0
3900,2,2.25,67,0,1.0,3,8,1072000.0
1320,2,1.5,67,0,1.0,4,8,467000.0
2760,4,2.5,15,0,2.0,3,10,686000.0
1750,3,2.0,53,0,1.0,3,7,279950.0
2330,4,2.25,27,0,2.0,3,8,527000.0
2220,3,2.25,48,0,1.0,4,8,325000.0
2020,3,2.25,20,0,2.0,3,7,328000.0
1250,3,2.25,72,0,1.0,5,7,390000.0
1510,2,2.0,10,0,1.0,3,8,479950.0
1720,4,2.25,36,0,1.0,4,7,264950.0
1430,3,1.0,54,0,1.0,4,7,235000.0
1480,3,2.5,11,0,2.0,3,7,516500.0
1450,2,1.75,100,1,2.0,3,7,655000.0
2280,4,2.75,54,0,1.0,5,7,500000.0
2940,6,2.75,36,0,1.0,3,8,315000.0
1000,2,1.0,53,0,1.0,3,6,213000.0
2480,3,1.5,67,0,1.5,5,7,475000.0
3760,5,4.0,31,0,2.0,3,10,1025000.0
2220,3,2.0,39,0,1.0,5,7,416000.0
1970,4,1.0,111,0,1.5,3,7,410000.0
3830,3,3.5,21,0,2.0,3,10,800000.0
4410,6,2.5,49,0,1.0,4,9,472000.0
1430,3,1.75,46,0,1.0,4,7,225000.0
830,2,1.0,74,0,1.0,3,6,210000.0
1430,2,1.0,90,0,1.5,2,7,455000.0
1300,3,1.0,61,0,1.0,4,6,225000.0
1030,2,1.0,96,0,1.0,4,7,480000.0
2740,3,2.5,25,0,2.0,3,9,363000.0
3650,4,2.5,14,1,1.0,3,9,2400000.0
720,2,1.5,61,0,1.0,3,6,181000.0
2010,4,2.0,39,0,1.0,4,7,250000.0
1560,3,1.75,97,0,1.0,4,6,481000.0
1810,3,2.0,36,0,1.0,4,7,260000.0
3360,4,2.5,13,0,2.0,3,9,455000.0
1510,3,2.25,24,0,2.0,3,8,415000.0
1400,3,1.0,62,0,1.0,3,7,349500.0
1730,3,2.5,27,0,2.0,3,7,245000.0
1420,2,2.0,86,0,1.5,5,7,592500.0
2360,4,1.75,59,0,1.0,4,7,385000.0
1580,3,1.75,41,0,1.0,4,7,315000.0
1230,3,1.0,35,0,1.0,3,7,255000.0
2460,4,2.5,8,0,2.0,3,8,693000.0
1660,3,1.0,103,0,1.5,3,8,780000.0
1270,3,1.75,54,0,1.0,4,7,237000.0
2100,3,2.25,35,0,2.0,3,10,525000.0
770,2,1.0,85,0,1.0,3,5,425000.0
760,1,0.75,78,1,1.0,5,5,369900.0
1700,4,2.5,26,0,2.0,4,7,290000.0
1120,3,1.0,60,0,1.0,3,7,285000.0
1070,2,1.0,77,0,1.0,3,7,415000.0
2070,3,2.5,36,0,1.0,3,8,272500.0
5050,4,3.25,33,0,1.5,3,11,2900000.0
5310,4,4.75,25,0,2.0,4,11,1365000.0
1040,2,1.0,76,0,1.0,4,7,436000.0
1700,3,1.0,47,0,1.0,4,7,210000.0
1300,3,1.0,53,0,1.0,3,7,236000.0
1080,3,1.75,60,0,1.0,3,7,331000.0
2653,3,2.5,9,0,2.0,3,8,365000.0
2290,3,2.0,55,0,1.0,5,8,450000.0
3820,4,2.75,0,0,2.0,3,9,770000.0
2210,4,2.5,18,0,1.0,3,8,455000.0
2390,3,1.75,107,0,1.0,3,6,405000.0
2600,4,1.75,45,0,1.0,4,7,304900.0
860,2,1.0,84,0,1.0,3,6,170000.0
3830,5,3.0,110,0,2.0,5,9,2050000.0
3500,4,2.5,9,0,2.0,3,9,780000.0
2420,3,3.0,27,0,1.0,4,8,330000.0
2720,4,2.5,22,0,2.0,3,9,370000.0
2500,5,2.25,35,0,1.0,3,7,467000.0
1670,3,1.75,35,0,1.0,3,7,405000.0
2900,5,2.25,29,0,1.0,3,8,675000.0
1640,2,1.0,60,0,1.0,4,7,500000.0
1890,4,2.5,46,0,2.0,4,7,389999.0
2950,4,1.75,40,0,1.0,4,8,630000.0
2160,4,2.5,22,0,2.0,3,9,360000.0
3280,4,3.0,28,0,2.0,3,8,580000.0
1970,3,2.0,85,0,2.0,5,8,550000.0
3360,4,2.5,20,0,2.0,3,10,879000.0
1320,3,2.0,21,0,1.0,3,7,265000.0
2650,3,2.5,25,0,2.0,3,8,446500.0
2030,3,1.5,51,0,1.0,3,7,404000.0
1590,3,1.75,57,0,1.0,3,7,267500.0
2440,3,2.5,16,0,2.0,3,8,335000.0
1940,3,2.5,66,0,1.0,4,7,576000.0
2040,3,2.5,9,0,2.0,3,8,208633.0
2200,3,2.25,51,0,1.0,4,7,315000.0
1920,3,1.75,102,0,1.0,4,8,725000.0
1800,4,2.75,50,0,1.0,4,8,550000.0
2180,4,2.25,30,0,2.0,3,8,610750.0
1010,2,1.0,107,0,1.5,4,6,550700.0
3320,4,2.75,55,0,2.0,5,8,665000.0
2370,4,2.5,87,0,1.5,5,8,834000.0
1660,5,1.75,99,0,1.5,3,6,201000.0
3650,5,2.5,93,0,2.0,5,10,2384000.0
4290,4,3.25,17,0,1.0,3,11,1384000.0
4290,4,3.25,17,0,1.0,3,11,1400000.0
1950,4,2.25,35,0,1.0,3,8,305000.0
2590,3,2.0,67,0,1.0,5,8,487000.0
1930,3,2.5,27,0,1.0,4,8,390000.0
1470,2,1.0,98,0,1.0,4,7,548000.0
800,4,1.0,71,0,1.0,3,6,268750.0
3150,5,2.75,1,0,2.0,3,9,819900.0
2030,3,2.25,30,0,2.0,3,8,520000.0
1450,3,2.0,11,0,1.0,3,7,230000.0
1510,3,1.75,46,0,1.0,3,7,240000.0
1240,2,1.0,92,0,1.0,3,6,232000.0
1240,2,1.0,93,0,1.0,3,6,240500.0
3030,3,2.5,27,0,2.0,3,9,274975.0
2050,4,2.0,92,0,1.5,4,9,740000.0
1000,3,1.0,63,0,1.0,2,7,186375.0
2370,3,2.25,37,0,1.0,4,9,790000.0
2800,4,3.5,63,0,2.0,3,9,880000.0
2240,6,1.75,60,0,2.0,4,7,279000.0
1810,3,2.0,23,0,1.0,3,8,295000.0
1070,2,1.0,91,0,1.0,3,7,640000.0
2490,4,2.0,46,0,2.0,5,9,940000.0
1960,4,2.5,11,0,2.0,3,7,260000.0
2930,3,2.75,10,0,1.0,3,9,559900.0
1510,4,2.0,103,0,1.5,5,7,791500.0
1420,3,1.75,60,0,1.0,3,7,265000.0
1740,3,1.75,61,0,1.0,3,7,245000.0
2560,4,1.75,53,0,2.0,4,7,485000.0
3040,4,3.5,4,0,2.0,3,9,684000.0
2500,3,1.75,57,0,1.0,3,8,425000.0
1275,4,1.75,23,0,1.0,4,6,309600.0
2580,4,2.5,12,0,2.0,3,8,552250.0
1000,4,1.0,71,0,1.0,3,6,165000.0
1000,4,1.0,71,0,1.0,3,6,239900.0
1070,2,1.0,84,0,1.0,4,6,320000.0
1390,3,2.0,27,0,1.0,4,7,206600.0
2500,4,1.75,42,0,1.0,3,7,387000.0
560,1,0.75,47,0,1.0,3,4,299000.0
2270,4,2.75,49,0,2.0,3,9,855000.0
1900,3,1.0,61,0,1.0,4,7,315000.0
990,2,1.0,107,0,1.0,5,7,437500.0
1550,4,1.5,46,0,1.0,4,7,252000.0
2200,4,1.75,59,0,1.0,5,7,375000.0
1910,4,2.5,9,0,2.0,3,7,300000.0
1750,4,1.0,60,0,1.5,4,7,420000.0
1330,3,1.0,86,0,1.0,3,7,900000.0
2440,3,2.5,14,0,2.0,3,9,679900.0
1640,3,2.5,22,0,2.0,3,7,463000.0
2760,5,2.5,36,0,2.0,4,9,380000.0
1820,4,2.5,20,0,2.0,3,7,329500.0
2110,3,2.5,1,0,1.0,3,8,604950.0
3040,5,2.5,48,0,1.0,4,8,795000.0
1840,3,2.0,21,0,2.0,3,7,465000.0
2990,4,2.5,13,0,2.0,3,9,673000.0
3520,4,2.5,23,0,2.0,3,10,810000.0
2440,4,2.75,26,0,1.0,4,8,785000.0
2090,4,3.0,28,0,1.0,3,7,338000.0
1430,3,2.25,21,0,2.0,3,7,280000.0
2180,4,2.25,60,0,1.0,5,7,315000.0
2180,4,2.25,61,0,1.0,5,7,530000.0
3450,5,3.0,10,0,2.0,3,9,380000.0
1450,3,2.25,20,0,2.0,3,7,297000.0
3230,4,2.5,10,0,2.0,3,10,730000.0
1640,3,1.75,74,0,1.0,3,7,450000.0
1590,3,3.0,17,0,1.0,3,7,275000.0
2020,4,2.0,55,0,2.0,3,7,595000.0
1300,3,1.5,111,0,1.5,3,7,435000.0
1380,2,1.5,60,0,1.0,1,6,270000.0
4040,3,3.0,28,0,2.0,3,10,950000.0
2130,4,2.25,14,0,2.0,3,7,389000.0
2550,4,2.25,47,0,1.0,3,8,560000.0
4800,5,3.5,16,0,2.0,3,11,1350000.0
2510,4,2.25,45,0,2.0,4,8,799000.0
1410,3,2.0,31,0,1.0,4,7,365500.0
1650,3,2.0,35,0,1.0,3,7,252350.0
2120,4,2.5,21,0,2.0,3,8,403950.0
2040,4,1.5,60,0,1.0,3,7,385000.0
1550,4,1.0,57,0,1.5,3,7,345000.0
1980,3,2.75,35,0,2.0,4,9,490000.0
1600,3,2.5,9,0,2.0,3,8,330000.0
3300,4,2.75,61,0,2.0,3,8,927000.0
3840,4,2.5,31,0,2.0,4,10,1118000.0
1220,2,1.0,65,0,1.0,5,7,330000.0
2720,5,2.25,57,0,1.0,4,7,530000.0
1940,4,2.0,52,0,1.0,1,8,365000.0
2160,3,2.5,105,0,1.5,3,7,378750.0
1530,4,1.75,46,0,1.5,4,7,269900.0
1710,3,3.5,7,0,2.0,3,8,557000.0
3730,4,1.75,40,0,1.0,4,7,360000.0
940,2,1.0,78,0,1.0,4,7,352000.0
1750,3,2.5,21,0,2.0,3,8,437000.0
1820,4,2.5,20,0,2.0,3,7,322500.0
1510,3,3.25,13,0,2.0,3,9,650000.0
1290,3,2.0,13,0,3.0,3,8,450000.0
1570,3,2.0,17,0,1.0,3,7,278500.0
1930,4,2.5,20,0,2.0,3,8,364950.0
2840,4,3.5,28,0,1.0,4,10,840000.0
1550,3,2.5,24,0,2.0,3,7,268000.0
833,2,1.0,8,0,1.0,3,5,517534.0
2990,3,2.5,36,0,2.0,4,8,632925.0
2000,3,2.5,19,0,2.0,3,9,577500.0
2390,4,1.5,95,0,1.5,3,7,339000.0
2910,3,1.75,47,0,1.0,4,7,570000.0
2085,4,1.75,50,0,1.0,3,7,563500.0
2200,4,2.25,53,0,1.0,5,7,423000.0
1860,3,2.25,2,0,2.0,3,8,355000.0
6070,5,4.25,15,0,2.0,3,12,1550000.0
950,2,1.0,73,0,1.0,3,7,482000.0
1600,3,1.75,59,0,1.0,5,7,625000.0
2250,3,2.5,26,0,2.0,3,8,538000.0
2280,3,2.5,30,0,2.0,4,8,380000.0
940,2,1.0,105,0,1.0,3,7,375000.0
1530,3,2.5,19,0,1.0,5,7,245000.0
2190,5,1.75,67,0,1.0,4,7,310000.0
2350,3,2.0,39,0,1.0,4,8,1300000.0
1440,4,2.0,43,0,1.0,3,7,397000.0
2200,3,2.5,10,0,2.0,3,8,365000.0
2290,4,3.0,24,0,2.0,3,9,328500.0
4040,4,3.0,27,0,2.0,3,11,988000.0
2610,4,2.5,92,0,1.5,5,8,1000000.0
1490,3,2.5,9,0,2.0,3,7,237000.0
2450,4,2.5,11,0,2.0,3,8,525000.0
1710,4,2.5,38,0,1.0,3,9,749000.0
4870,5,2.5,31,0,2.0,3,10,722500.0
3130,3,2.5,24,0,2.0,3,10,843000.0
1270,2,2.0,14,0,3.0,3,8,438000.0
2120,3,1.75,37,0,1.0,3,8,578000.0
1670,3,1.5,60,0,1.0,5,7,227950.0
2070,3,2.25,40,0,2.0,3,7,196000.0
1420,2,1.0,61,0,1.0,3,8,641000.0
1250,3,1.5,35,0,1.0,4,6,350000.0
940,3,1.0,54,0,1.0,4,7,205000.0
1920,3,1.75,46,0,1.0,3,7,400000.0
3545,3,2.5,9,0,1.0,3,10,1030000.0
1260,3,2.0,43,0,1.0,3,7,505000.0
2340,5,2.5,39,0,1.0,3,7,475000.0
2590,3,2.25,37,0,1.0,5,8,520000.0
3970,3,4.5,38,0,2.0,3,10,1450000.0
1220,3,1.75,49,0,1.0,3,7,333500.0
1400,3,1.0,39,0,1.0,4,6,232000.0
2360,3,2.75,32,0,1.0,4,8,691100.0
1870,3,1.75,54,0,1.0,4,8,811000.0
2830,3,2.5,13,0,2.0,3,9,551000.0
2260,3,2.5,21,0,2.0,3,8,496500.0
1970,3,3.0,34,1,2.0,4,9,705000.0
3140,4,2.5,48,0,1.0,5,9,578000.0
1240,3,1.75,29,0,1.0,5,7,255000.0
3450,4,3.5,7,0,2.0,3,10,1050000.0
2570,3,2.25,26,0,2.0,4,8,348000.0
1510,3,2.0,29,0,2.0,3,7,230000.0
2390,4,2.25,26,0,2.0,3,9,359500.0
980,3,1.0,61,0,1.0,3,6,330000.0
430,1,0.75,102,0,1.0,2,4,80000.0
1480,3,1.75,60,0,1.0,3,7,465000.0
1850,4,2.5,17,0,2.0,3,8,325000.0
2270,3,2.0,68,0,1.0,4,7,340500.0
1810,3,2.5,22,0,2.0,3,8,342500.0
1610,2,2.0,84,0,2.0,3,6,290900.0
3840,3,4.25,15,0,2.0,3,10,868700.0
4110,4,2.75,86,0,2.0,3,9,1199000.0
4190,4,3.25,14,0,2.0,3,11,1150000.0
3390,4,2.75,3,0,2.0,3,9,859900.0
1890,4,2.25,11,0,2.0,3,7,520000.0
1610,3,2.5,9,0,2.0,3,9,460000.0
1050,3,1.5,65,0,1.0,3,7,438924.0
630,2,1.0,97,0,1.0,3,5,315000.0
2910,4,2.75,39,0,1.0,3,8,590000.0
1700,4,1.75,59,0,1.0,3,7,378500.0
1950,3,2.5,24,0,2.0,4,9,328500.0
2990,3,3.0,42,0,2.0,4,8,849950.0
1350,3,1.5,64,0,1.0,3,7,525000.0
4860,4,3.25,22,0,2.5,3,9,1385000.0
2160,4,2.5,37,0,1.0,4,8,295000.0
4860,6,3.5,16,0,2.0,3,11,1067000.0
890,2,2.0,97,0,1.0,3,6,207950.0
2810,4,2.75,12,0,2.0,3,9,699900.0
3400,5,2.5,38,0,2.0,4,8,1280000.0
1580,4,1.5,51,0,1.0,4,7,452000.0
1680,3,2.0,28,0,1.0,4,7,370000.0
1300,3,1.75,47,0,1.0,5,7,232000.0
2820,5,2.5,54,0,2.0,4,7,669950.0
1510,3,2.0,42,0,1.0,3,7,397500.0
1230,2,2.5,10,0,2.0,3,8,490000.0
2110,4,2.0,90,0,2.0,3,9,725000.0
3080,3,2.75,56,0,1.0,4,7,299000.0
1490,2,1.5,114,0,1.5,4,7,625000.0
2120,3,2.5,14,0,2.0,3,7,437500.0
3180,4,2.5,12,0,2.0,3,9,650000.0
1490,2,1.0,85,0,1.0,3,7,475000.0
1930,3,2.0,48,0,1.0,4,8,342000.0
2770,4,2.5,15,0,2.0,3,10,1197350.0
1670,3,1.5,52,0,1.0,4,7,280000.0
1330,2,1.75,21,0,1.0,3,7,240000.0
1210,3,1.0,90,0,1.5,4,7,529000.0
1190,3,1.0,74,0,1.0,4,7,442000.0
1540,2,1.0,68,0,1.0,4,7,615000.0
4030,4,3.75,8,0,2.0,3,10,1485000.0
2430,4,1.75,34,0,1.0,4,8,585000.0
2600,4,2.5,10,0,2.0,3,8,480000.0
4410,5,3.5,24,0,2.0,4,9,1095000.0
1330,4,1.0,65,0,1.5,3,7,290000.0
1900,3,1.75,63,0,1.0,5,7,615000.0
1100,2,1.0,65,0,1.0,4,7,300000.0
1980,3,1.0,82,0,1.5,3,6,308000.0
2400,3,2.5,14,0,2.0,3,9,750000.0
4760,4,2.25,98,0,2.5,5,9,2250000.0
3180,4,3.25,9,0,2.0,3,10,890000.0
1190,3,1.0,57,0,1.0,5,6,288000.0
630,2,1.0,71,0,1.0,3,6,190000.0
2530,5,3.0,10,0,1.0,3,8,515000.0
1690,4,1.5,84,0,1.0,4,5,235000.0
940,2,1.0,63,0,1.0,3,6,275000.0
1240,2,2.0,62,0,1.0,4,7,727500.0
3040,4,2.5,11,0,2.0,3,7,650000.0
6050,6,5.0,13,0,2.0,3,11,1600000.0
1590,4,1.0,70,0,1.5,3,6,365000.0
2500,3,1.75,30,0,1.0,3,9,662000.0
1780,3,2.5,37,0,1.0,3,7,270500.0
1360,2,1.5,37,0,2.0,3,7,200000.0
4740,4,3.25,28,0,2.0,3,10,970000.0
1010,3,1.5,52,0,1.0,4,7,160000.0
1040,3,1.0,44,0,1.0,4,6,204000.0
1610,3,2.25,30,0,2.0,4,7,358000.0
